,beer,score,style,abv,rating,cleaned_review
2199,Sosus,99,IPA - Imperial,7.8%,4.32,"Toppling Goliath Brewing Co. ""Sosus"""
2200,Abrasive Ale,100,IPA - Imperial,9.2%,4.01,"From a tall aluminum can m this brew is a hazy, dark straw color with a thin white head. The aroma is very fruity...citrus and melon....orang and lemon peel and some fleshy grapefruit. Full bitter and aggressive flavor. Some alcohol warmth. Full body. Satisfying."
2201,Triple Shot,100,Stout - American Imperial,9.7%,4.57,"A: Pours a pitch black color with 2 fingers of head that fades down to a nice cap that leaves good lacing S: Roasted malt, coffee, dark chocolate, cocoa, caramel, and a touch of vanilla T: Follows the nose. Starts off with the roasted malt, coffee, and cocoa. Picks up the dark chocolate, caramel, vanilla, and some dark fruit. Finishes with lingering roast, coffee, and chocolate M: Full bodied with low carbonation. Definitely on the heavy side O: An incredible coffee beer that makes for a great sipper. The coffee is front and center and gets complimented by the chocolate. A great dessert beer. Definitely worth checking out"
2202,Very Hazy,100,IPA - New England,8.6%,4.29,"Canned on 8/5/21; consumed on 8/24/21 Pours an opaque, dark golden orange body capped with multiple fingers of rich, fluffy, eggshell-white foam; great head retention leaves a finger of creamy cap, large, frothy collar, and layers of dense, webby lacing almost entirely frosting the of the walls of the glass. Aroma bursts with attenuated fruit cocktail notes, devolving into peach gummies and leaning into greener tones of eucalyptus leaf and fresh aloe; a catty dankness and peppery spice sees scrapes of a hard minerality over the middle to orange zest and grapefruit peel with edges of bubblegum and moss closing. Taste opens with peach ring sweetness into nectarine and a citric twist of orange peel; grapefruit zest eases into a semi-earthy twang of crushed-vitamin minerality before revisiting tropical nectar capped with candied guava and accents of dry grass finishing. Mouthfeel shows a medium body with a fluffy, moderate-high carbonation; a hoppy twang integrates a crushed-vitamin minerality with a taut bittering over the mid-palate and through the finish, while the overall consistency continues to highlight a minor grit, subtle resin, and underlying juicy quality throughout. Familiar fruit saturation with a distinctly dank, cooly herbal twist; this is Tree House nearing its eccentric best, merging their almost inimitable drinkability with a refreshing deviation from ripe fruit overloads in favor of a rawer, resin-focused hop integration. A deceptively diverse, intriguing winner."
2203,Expedition Stout - Bourbon Barrel-Aged,99,Stout - Russian Imperial,13.4%,4.74,Great barrel. One of the best of the style. Love that smokey smell. Not much like regular expedition; this one is definitely focused on the barrel character. Amazing.
2204,Cutting Tiles - Mosaic,100,IPA - New England,8.5%,4.9,Appearance:
2205,Montmorency Vs Balaton,99,Wild Ale,6.1%,4.07,Look: Pours a vibrant pink color with minimal head
2206,Rodenbach Caractère Rouge,99,Sour - Flanders Red Ale,7%,4.21,"Pours a hazed red with a brownish hue. The fat finger of raspberry-tinted, light tan head quickly fizzes away to a wisp and a crown. The big, fruity aroma smells “pink,” with fresh, juicy berries, cherry, some solvent and light oak. More of the lovely vinegar acidity characteristic of Grand Cru shows up front in the taste, pairing nicely with the juicy cranberry, raspberry and cherry. The oak touch is refined, smoothing out both the juice and acidity in the finish. The aftertaste is only lightly puckering — a mixture of sweet and tart. Medium bodied at most with a slight oily slickness and light carbonation fizz. Almost shockingly juicy, while maintaining Rodenbach’s classic character. Makes for a delicious special-occasion treat."
2207,King Sue - Double Dry-Hopped,99,IPA - New England,7.8%,4.68,"Bottled on 1/6/2021. Poured into a snulip glass. It pours a murky, pretty, pastel color with a thick fluffy, milk-white head and abundant thick lacing. It's a beautify appearance. The strong, aromatic nose features lemon, orange, grapefruit, pineapple, ripe melon, and pine needles. I love the original King Sue but this blows it away. The lemon is tart and the grapefruit rind bitter but those flavors are perfectly balanced by the sweetness of the pineapple and melon. As it warms there is additional tropical sweetness on the back of the tongue and the resinous pine is more pronounced. It finishes with a hint of pepper and astringency. The mouth feel is thick and creamy with near perfect carbonation, and it's surprisingly quaffable for 7.8% ABV. I usually not a fan of the 500 ML bottle format but it works well here. Overall, it's wonderful to be able to purchase this gem locally and less than 3 weeks old."
2208,Coffee Cinnamon B-Bomb,100,Strong Ale - American,13%,4.79,Much darker than your average barleywine. Dark brown almost black color that seems to split the difference between barleywine and stout. Nose and taste are pure cinnamon. Coffee takes a back seat but is still there. Barrel really shines as well. Great beer.
2209,Society & Solitude #5,100,IPA - New England,8.1%,4.56,Canned 7/14/20
2210,Permanent Funeral,100,IPA - Imperial,10.5%,4.71,"So far, the best beer I've had from Three Floyds. Pour is just beautiful. Great head retntion and thick lacing. Taste and aroma are bright and tropical, some melon, stone fruits - lots going on. Feel is perfectly carbonated with just the right amount of body."
2211,The Peach,100,Wild Ale,7.3%,4.49,"A- Hazy golden body. Two finger creamy cap with good retention. Small sheets of lacing form after each sip. S- Oh peachy beast. Great whole fruit, flesh and skin and pit peach authenticity. Stone fruit full on and in your face. Some lactic, funk and oak. Not much cognac here. Peaches and sourness are the driving forces. T- Sour peach saturation. Beautiful ripe peaches with tart and somewhat bitter skin notes. Strong lactic acid sourness. Peach pith and juice bordering on nectar level. Vinous oak with a slight touch of cognac. A bit of Brett funk as time goes on. MF- Crisp and light-medium bodied overall. A very high level of carbonation and a fluffy and foamy texture. Very sour and somewhat oily slick finish. Fresh peach nectar with a ton of sourness and a bit of funk/barrel character."
2212,Abt 12,99,Quadrupel (Quad),10%,4.75,"It has a signature scent of Belgian yeast, dark fruits and a hint of wine. There's a dark depth of roasted malts in the initial flavor that then brightens to a fruity sweetness. It's thin with a lot of bubbly carbonation. The finish is dry, funky and fruity, then finally a little bitterness. It's like a dark, funky champagne. Really fantastic. I give it a 5.7 out of 6."
2213,§ucaba,100,Barleywine - English,12.5%,4.63,"Poured cold into a tulip glass and allowed to warm to cellar temperature. Dark brown in color (I'm guessing around 40 EBC), with a thick tan head that left some nice lacing as it settled. There's nothing subtle about this one. Huge aromas and flavors of caramel, molasses, dark fruit, and licorice, accompanied by notes of bourbon, oak, and vanilla. Very sweet and quite boozy, with a little sweetness lingering on the palate. These FW BBA barleywines are truly something special, and this one is well deserving of its lofty ratings."
2214,Cutting Tiles - Galaxy,99,IPA - New England,8.5%,4.58,"Pours a very hazy, cloudy orange body with a two finger white head that reduces to a layer and leaves spotty lacing. Aromas are heavy citrus and pillowy clementine, fruity and Inviting. Taste is lightly sweet honey and pulpy citrus, tangerine, pineapple, almost no bitterness. Creamy mouthfeel - very soft and easy, I can’t believe this is 8.3%. This is a real winner. Delicious and so flavorful, yet balanced and delicate."
2215,Cutting Tiles - Galaxy,99,IPA - New England,8.5%,4.34,Pours like orange juice with a finger of white head.
2216,Double Dry Hopped Double Mosaic Dream,100,IPA - New England,8.5%,4.68,"So excited to obtain one of these to sample, let’s give er a try! Hazy and deep golden with a fading white head, certainly looks nice for the style. Honestly, typical mosaic tropical nose is nice but nothing overwhelming here. Ok, wonderful flavor here! This is where this brew really rises above the rest of the hazy lot that’s all over the place now. Tropical and dare I say “just the right amount of sweet” with the perfect blend of gentle bitterness on the end. The feel on this beer is also top notch, prickly, creamy and just the right thickness. I’ve rarely been blown away by a highly rated brew, this one deserves it."
2217,Schaarbeekse Kriek,99,Lambic - Fruit,6%,5.0,"Pours glowing red in color with a foamy white head, receeding to a fluffy, small head. This smells of candided cherries, inheriting an utmost fruity and flowery composition, together with a lusciously fruit ripeness. Got a marzipan peak to it, revealing toasted cherry piths, as well as a subtle, funky leatheriness. The nose on this is simply phenomenal, revealing an intriguing complexity which is hard to find in a beer. Has a soft, vivid carbonation, which leads to a great refreshment in this light bodied, smooth drinking beer. This tastes of an initial, complex funkiness consisting of green apples, blue cheese and old basement, blended together with some additional leather, complimenting the uprising cherry fruitiness in this. The fruits got an intense ripe- and sweetness to them, featuring the unique marzipan flavor from the nose, as well as a gentle, subtle smokiness. Finishes rich and juicy with an underlying, balancing tartness, toasted cherry piths among a stony mineral quality, entagled into wet hay and lime zest, creating a refreshing, long lasting aftertaste. This is a perfect Kriek to me. The cherries in this work their magic in an astonishing way, they‘re incredibly prominent and complex, at the same time this drinks easy and simply enjoyable. The mouthfeel is velvet, yet sparkling during the finish, the funk is there too, together with a very well working tartness, which makes this quite unique, as far as cherries can define a beer."
